[NOTUS TEXTFILE V3.1]
File Created: 13-Jul-2019 13:38:00
Tow Date: 13-Jul-2019 8:27:04


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,12:44:18,---,---,---,---,---,
C24S,12:45:02,---,---,---,---,---,
C24S,12:45:46,---,---,---,---,---,
C24S,12:46:30,---,---,---,---,---,
C24S,12:47:14,---,---,---,---,---,
C24S,12:47:58,---,---,---,---,---,
C24S,12:48:43,---,---,---,---,---,
C24S,12:49:27,---,---,---,---,---,
C24S,12:50:11,---,---,---,---,---,
C24S,12:50:55,---,---,---,---,---,
C24S,12:51:39,---,---,---,---,---,
C24S,12:52:21,---,---,---,---,---,
C24S,12:53:06,---,---,---,---,---,
C24S,12:53:50,---,---,---,---,---,
C24S,12:54:34,---,---,---,---,---,
C24S,12:55:18,---,---,---,---,---,
C24S,12:56:02,---,---,---,---,---,
C24S,12:56:46,---,---,---,---,---,
C24S,12:57:30,---,---,---,---,---,
C24S,12:58:14,---,---,---,---,---,
C24S,12:58:58,---,---,---,---,---,
C24S,12:59:42,---,---,---,---,---,
C24S,13:00:26,---,---,---,---,---,
C24S,13:01:10,---,---,---,---,---,
C24S,13:01:54,---,---,---,---,---,
C24S,13:02:38,---,---,---,---,---,
C24S,13:03:23,---,---,---,---,---,
C24S,13:04:07,---,---,---,---,---,
C24S,13:04:51,---,---,---,---,---,
C24S,13:05:35,---,---,---,---,---,
C24S,13:06:19,---,---,---,---,---,
C24S,13:07:03,---,---,---,---,---,
C24S,13:07:47,---,---,---,---,---,
C24S,13:08:31,---,---,---,---,---,
C24S,13:09:15,---,---,---,---,---,
C24S,13:09:59,---,---,---,---,---,
C24S,13:10:43,---,---,---,---,---,
C24S,13:11:27,---,---,---,---,---,
C24S,13:12:11,---,---,---,---,---,
C24S,13:12:55,---,---,---,---,---,
C24S,13:13:40,---,---,---,---,---,
C24S,13:14:24,---,---,---,---,---,
C24S,13:15:08,---,---,---,---,---,
C24S,13:15:52,---,---,---,---,---,
C24S,13:16:36,---,---,---,---,---,
C24S,13:17:20,---,---,---,---,---,
C24S,13:18:04,---,---,---,---,---,
C24S,13:18:48,---,---,---,---,---,
C24S,13:19:32,---,---,---,---,---,
