[NOTUS TEXTFILE V3.1]
File Created: 06-Aug-2019 16:11:22
Tow Date: 06-Aug-2019 9:26:03


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
A96N,10:11:06,---,---,---,---,---,
A96N,10:11:50,---,---,---,---,---,
A96N,10:12:34,---,---,---,---,---,
A96N,10:13:18,---,---,---,---,---,
A96N,10:14:02,---,---,---,---,---,
A96N,10:14:46,---,---,---,---,---,
A96N,10:15:30,---,---,---,---,---,
A96N,10:16:14,---,---,---,---,---,
A96N,10:16:58,---,---,---,---,---,
A96N,10:17:42,---,---,---,---,---,
A96N,10:18:26,---,---,---,---,---,
A96N,10:19:10,---,---,---,---,---,
A96N,10:19:54,---,---,---,---,---,
A96N,10:20:39,---,---,---,---,---,
A96N,10:21:23,---,---,---,---,---,
A96N,10:22:07,---,---,---,---,---,
A96N,10:22:51,---,---,---,---,---,
A96N,10:23:35,---,---,---,---,---,
A96N,10:24:19,---,---,---,---,---,
A96N,10:25:03,---,---,---,---,---,
A96N,10:25:47,---,---,---,---,---,
A96N,10:26:31,---,---,---,---,---,
A96N,10:27:15,---,---,---,---,---,
A96N,10:27:59,---,---,---,---,---,
A96N,10:28:43,---,---,---,---,---,
A96N,10:29:27,---,---,---,---,---,
A96N,10:30:11,---,---,---,---,---,
A96N,10:30:56,---,---,---,---,---,
A96N,10:31:40,---,---,---,---,---,
A96N,10:32:24,---,---,---,---,---,
A96N,10:33:08,---,---,---,---,---,
A96N,10:33:52,---,---,---,---,---,
A96N,10:34:36,---,---,---,---,---,
A96N,10:35:20,---,---,---,---,---,
A96N,10:36:04,---,---,---,---,---,
A96N,10:36:48,---,---,---,---,---,
A96N,10:37:32,---,---,---,---,---,
A96N,10:38:16,---,---,---,---,---,
A96N,10:39:00,---,---,---,---,---,
A96N,10:39:44,---,---,---,---,---,
A96N,10:40:28,---,---,---,---,---,
A96N,10:41:13,---,---,---,---,---,
A96N,10:41:57,---,---,---,---,---,
A96N,10:42:41,---,---,---,---,---,
A96N,10:43:25,---,---,---,---,---,
A96N,10:44:09,---,---,---,---,---,
A96N,10:44:53,---,---,---,---,---,
A96N,10:45:37,---,---,---,---,---,
A96N,10:46:21,---,---,---,---,---,
A96N,10:47:05,---,---,---,---,---,
A96N,10:47:49,---,---,---,---,---,
A96N,10:48:33,---,---,---,---,---,
A96N,10:49:17,---,---,---,---,---,
A96N,10:50:01,---,---,---,---,---,
A96N,10:50:45,---,---,---,---,---,
A96N,10:51:30,---,---,---,---,---,
A96N,10:52:14,---,---,---,---,---,
A96N,10:52:58,---,---,---,---,---,
A96N,10:53:42,---,---,---,---,---,
A96N,10:54:21,5.1,---,---,---,---,
A96N,10:55:08,---,---,---,---,---,
A96N,10:55:53,---,---,---,---,---,
A96N,10:56:37,---,---,---,---,---,
A96N,10:57:21,---,---,---,---,---,
A96N,10:58:05,---,---,---,---,---,
A96N,10:58:49,---,---,---,---,---,
A96N,10:59:13,---,---,---,---,---,
A96N,10:59:57,---,---,---,---,---,
A96N,11:00:41,---,---,---,---,---,
A96N,11:01:25,---,---,---,---,---,
A96N,11:02:09,---,---,---,---,---,
A96N,11:02:53,---,---,---,---,---,
A96N,11:03:37,---,---,---,---,---,
A96N,11:04:22,---,---,---,---,---,
A96N,11:05:06,---,---,---,---,---,
A96N,11:05:50,---,---,---,---,---,
A96N,11:06:34,---,---,---,---,---,
A96N,11:07:18,---,---,---,---,---,
A96N,11:08:02,---,---,---,---,---,
A96N,11:08:46,---,---,---,---,---,
A96N,11:09:30,---,---,---,---,---,
A96N,11:10:14,---,---,---,---,---,
A96N,11:10:58,---,---,---,---,---,
A96N,11:11:42,---,---,---,---,---,
A96N,11:12:26,---,---,---,---,---,
A96N,11:13:10,---,---,---,---,---,
A96N,11:13:54,---,---,---,---,---,
A96N,11:14:39,---,---,---,---,---,
A96N,11:15:23,---,---,---,---,---,
A96N,11:16:07,---,---,---,---,---,
A96N,11:16:51,---,---,---,---,---,
A96N,11:17:35,---,---,---,---,---,
A96N,11:18:19,---,---,---,---,---,
A96N,11:19:03,---,---,---,---,---,
A96N,11:19:47,---,---,---,---,---,
A96N,11:20:31,---,---,---,---,---,
