Source File: C:\Users\Temp\Desktop\MINILOG 2017\Minilog-TD_6190_20170914_1.vld
Source Device: Minilog-TD-6190
Study Description: GP161A1
Minilog Initialized: 2017-09-14 12:18:03 (UTC-3)
Study Start Time: 2017-09-14 12:18:03
Study Stop Time: 2017-09-14 12:56:52
Sample Interval: 00:00:01
Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C),Depth (m)
2017-09-14,12:23:36,16.91,0.00
2017-09-14,12:23:37,16.91,1.62
2017-09-14,12:23:38,16.91,1.62
2017-09-14,12:23:39,16.76,1.62
2017-09-14,12:23:40,16.76,1.62
2017-09-14,12:23:41,16.76,1.62
2017-09-14,12:23:42,16.76,1.62
2017-09-14,12:23:43,16.76,1.62
2017-09-14,12:23:44,16.76,1.62
2017-09-14,12:23:45,16.76,1.62
2017-09-14,12:23:46,16.76,1.62
2017-09-14,12:23:47,16.76,1.62
2017-09-14,12:23:48,16.76,1.62
2017-09-14,12:23:49,16.76,1.62
2017-09-14,12:23:50,16.76,1.62
2017-09-14,12:23:51,16.76,1.62
2017-09-14,12:23:52,16.76,1.62
2017-09-14,12:23:53,16.61,3.24
2017-09-14,12:23:54,16.61,1.62
2017-09-14,12:23:55,16.61,1.62
2017-09-14,12:23:56,16.61,1.62
2017-09-14,12:23:57,16.76,3.24
2017-09-14,12:23:58,16.61,3.24
2017-09-14,12:23:59,16.61,1.62
2017-09-14,12:24:00,16.61,1.62
2017-09-14,12:24:01,16.76,3.24
2017-09-14,12:24:02,16.76,3.24
2017-09-14,12:24:03,16.76,3.24
2017-09-14,12:24:04,16.61,3.24
2017-09-14,12:24:05,16.61,1.62
2017-09-14,12:24:06,16.61,3.24
2017-09-14,12:24:07,16.61,3.24
2017-09-14,12:24:08,16.61,1.62
2017-09-14,12:24:09,16.61,1.62
2017-09-14,12:24:10,16.61,1.62
2017-09-14,12:24:11,16.61,1.62
2017-09-14,12:24:12,16.61,1.62
2017-09-14,12:24:13,16.61,3.24
2017-09-14,12:24:14,16.61,1.62
2017-09-14,12:24:15,16.61,3.24
2017-09-14,12:24:16,16.61,1.62
2017-09-14,12:24:17,16.61,1.62
2017-09-14,12:24:18,16.61,1.62
2017-09-14,12:24:19,16.61,1.62
2017-09-14,12:24:20,16.61,1.62
2017-09-14,12:24:21,16.61,3.24
2017-09-14,12:24:22,16.61,3.24
2017-09-14,12:24:23,16.61,3.24
2017-09-14,12:24:24,16.61,1.62
2017-09-14,12:24:25,16.61,3.24
2017-09-14,12:24:26,16.61,1.62
2017-09-14,12:24:27,16.61,3.24
2017-09-14,12:24:28,16.61,1.62
2017-09-14,12:24:29,16.46,3.24
2017-09-14,12:24:30,16.46,3.24
2017-09-14,12:24:31,16.46,3.24
2017-09-14,12:24:32,16.46,1.62
2017-09-14,12:24:33,16.46,3.24
2017-09-14,12:24:34,16.46,3.24
2017-09-14,12:24:35,16.46,1.62
2017-09-14,12:24:36,16.46,1.62
2017-09-14,12:24:37,16.46,3.24
2017-09-14,12:24:38,16.46,1.62
2017-09-14,12:24:39,16.46,3.24
2017-09-14,12:24:40,16.46,1.62
2017-09-14,12:24:41,16.46,1.62
2017-09-14,12:24:42,16.46,3.24
2017-09-14,12:24:43,16.46,1.62
2017-09-14,12:24:44,16.46,3.24
2017-09-14,12:24:45,16.46,1.62
2017-09-14,12:24:46,16.46,3.24
2017-09-14,12:24:47,16.46,1.62
2017-09-14,12:24:48,16.46,3.24
2017-09-14,12:24:49,16.61,3.24
2017-09-14,12:24:50,16.61,3.24
2017-09-14,12:24:51,16.76,3.24
2017-09-14,12:24:52,16.76,3.24
2017-09-14,12:24:53,16.76,3.24
2017-09-14,12:24:54,16.76,3.24
2017-09-14,12:24:55,16.76,3.24
2017-09-14,12:24:56,16.76,3.24
2017-09-14,12:24:57,16.76,3.24
2017-09-14,12:24:58,16.76,3.24
2017-09-14,12:24:59,16.76,3.24
2017-09-14,12:25:00,16.91,3.24
2017-09-14,12:25:01,16.91,3.24
2017-09-14,12:25:02,16.76,3.24
2017-09-14,12:25:03,16.91,3.24
2017-09-14,12:25:04,16.91,3.24
2017-09-14,12:25:05,16.91,3.24
2017-09-14,12:25:06,16.91,3.24
2017-09-14,12:25:07,16.91,3.24
2017-09-14,12:25:08,16.91,3.24
2017-09-14,12:25:09,16.91,3.24
2017-09-14,12:25:10,16.91,3.24
2017-09-14,12:25:11,16.91,3.24
2017-09-14,12:25:12,16.76,3.24
2017-09-14,12:25:13,16.76,3.24
2017-09-14,12:25:14,16.76,3.24
2017-09-14,12:25:15,16.76,3.24
2017-09-14,12:25:16,16.91,3.24
2017-09-14,12:25:17,16.91,3.24
2017-09-14,12:25:18,16.91,3.24
2017-09-14,12:25:19,16.91,3.24
2017-09-14,12:25:20,16.91,3.24
2017-09-14,12:25:21,16.91,3.24
2017-09-14,12:25:22,16.91,3.24
2017-09-14,12:25:23,16.91,3.24
2017-09-14,12:25:24,16.91,3.24
2017-09-14,12:25:25,16.91,3.24
2017-09-14,12:25:26,16.91,3.24
2017-09-14,12:25:27,16.91,3.24
2017-09-14,12:25:28,16.91,3.24
2017-09-14,12:25:29,16.91,3.24
2017-09-14,12:25:30,16.91,3.24
2017-09-14,12:25:31,17.07,3.24
2017-09-14,12:25:32,17.07,3.24
2017-09-14,12:25:33,16.91,3.24
2017-09-14,12:25:34,16.91,3.24
2017-09-14,12:25:35,17.07,3.24
2017-09-14,12:25:36,17.07,3.24
2017-09-14,12:25:37,17.07,3.24
2017-09-14,12:25:38,17.07,3.24
2017-09-14,12:25:39,16.91,3.24
2017-09-14,12:25:40,16.91,3.24
2017-09-14,12:25:41,16.91,3.24
2017-09-14,12:25:42,17.07,3.24
2017-09-14,12:25:43,16.91,3.24
2017-09-14,12:25:44,17.07,3.24
2017-09-14,12:25:45,17.07,3.24
2017-09-14,12:25:46,17.07,3.24
2017-09-14,12:25:47,17.07,3.24
2017-09-14,12:25:48,17.07,3.24
2017-09-14,12:25:49,16.91,3.24
2017-09-14,12:25:50,16.91,3.24
2017-09-14,12:25:51,17.07,3.24
2017-09-14,12:25:52,17.07,3.24
2017-09-14,12:25:53,17.07,3.24
2017-09-14,12:25:54,17.07,3.24
2017-09-14,12:25:55,17.07,3.24
2017-09-14,12:25:56,17.07,3.24
2017-09-14,12:25:57,17.07,3.24
2017-09-14,12:25:58,17.07,3.24
2017-09-14,12:25:59,17.07,3.24
2017-09-14,12:26:00,17.07,3.24
2017-09-14,12:26:01,17.07,3.24
2017-09-14,12:26:02,17.07,3.24
2017-09-14,12:26:03,17.07,3.24
2017-09-14,12:26:04,17.07,3.24
2017-09-14,12:26:05,17.07,3.24
2017-09-14,12:26:06,17.07,3.24
2017-09-14,12:26:07,17.07,3.24
2017-09-14,12:26:08,17.07,3.24
2017-09-14,12:26:09,17.07,3.24
2017-09-14,12:26:10,17.07,3.24
2017-09-14,12:26:11,17.07,3.24
2017-09-14,12:26:12,17.07,3.24
2017-09-14,12:26:13,17.07,3.24
2017-09-14,12:26:14,17.07,3.24
2017-09-14,12:26:15,17.07,3.24
2017-09-14,12:26:16,17.07,3.24
2017-09-14,12:26:17,17.07,3.24
2017-09-14,12:26:18,17.07,3.24
2017-09-14,12:26:19,17.07,3.24
2017-09-14,12:26:20,17.07,3.24
2017-09-14,12:26:21,17.07,3.24
2017-09-14,12:26:22,17.07,3.24
2017-09-14,12:26:23,17.07,3.24
2017-09-14,12:26:24,17.07,3.24
2017-09-14,12:26:25,17.07,3.24
2017-09-14,12:26:26,17.07,3.24
2017-09-14,12:26:27,17.07,3.24
2017-09-14,12:26:28,16.91,3.24
2017-09-14,12:26:29,16.91,3.24
2017-09-14,12:26:30,16.91,3.24
2017-09-14,12:26:31,17.07,3.24
2017-09-14,12:26:32,17.07,3.24
2017-09-14,12:26:33,16.91,3.24
2017-09-14,12:26:34,16.91,3.24
2017-09-14,12:26:35,16.91,3.24
2017-09-14,12:26:36,16.91,3.24
2017-09-14,12:26:37,16.91,3.24
2017-09-14,12:26:38,17.07,3.24
2017-09-14,12:26:39,17.07,3.24
2017-09-14,12:26:40,17.07,1.62
2017-09-14,12:26:41,17.07,3.24
2017-09-14,12:26:42,17.07,3.24
2017-09-14,12:26:43,17.22,3.24
2017-09-14,12:26:44,17.22,3.24
2017-09-14,12:26:45,17.22,1.62
2017-09-14,12:26:46,17.22,1.62
2017-09-14,12:26:47,17.22,3.24
2017-09-14,12:26:48,17.37,3.24
2017-09-14,12:26:49,17.22,1.62
2017-09-14,12:26:50,17.07,1.62
2017-09-14,12:26:51,16.76,1.62
2017-09-14,12:26:52,16.61,1.62
2017-09-14,12:26:53,16.46,3.24
2017-09-14,12:26:54,16.46,3.24
2017-09-14,12:26:55,16.46,1.62
2017-09-14,12:26:56,16.46,3.24
2017-09-14,12:26:57,16.46,3.24
2017-09-14,12:26:58,16.46,1.62
2017-09-14,12:26:59,16.46,1.62
2017-09-14,12:27:00,16.31,3.24
2017-09-14,12:27:01,16.46,3.24
2017-09-14,12:27:02,16.46,3.24
2017-09-14,12:27:03,16.46,3.24
2017-09-14,12:27:04,16.31,3.24
2017-09-14,12:27:05,16.46,3.24
2017-09-14,12:27:06,16.31,3.24
2017-09-14,12:27:07,16.31,3.24
2017-09-14,12:27:08,16.46,3.24
2017-09-14,12:27:09,16.31,3.24
2017-09-14,12:27:10,16.31,3.24
2017-09-14,12:27:11,16.31,3.24
2017-09-14,12:27:12,16.31,1.62
2017-09-14,12:27:13,16.31,3.24
2017-09-14,12:27:14,16.31,3.24
2017-09-14,12:27:15,16.31,3.24
2017-09-14,12:27:16,16.31,3.24
2017-09-14,12:27:17,16.31,3.24
2017-09-14,12:27:18,16.31,3.24
2017-09-14,12:27:19,16.31,3.24
2017-09-14,12:27:20,16.31,3.24
2017-09-14,12:27:21,16.31,3.24
2017-09-14,12:27:22,16.31,1.62
2017-09-14,12:27:23,16.31,3.24
2017-09-14,12:27:24,16.31,3.24
2017-09-14,12:27:25,16.31,3.24
2017-09-14,12:27:26,16.31,3.24
2017-09-14,12:27:27,16.31,3.24
2017-09-14,12:27:28,16.31,3.24
2017-09-14,12:27:29,16.31,3.24
2017-09-14,12:27:30,16.31,3.24
2017-09-14,12:27:31,16.31,3.24
2017-09-14,12:27:32,16.31,3.24
2017-09-14,12:27:33,16.31,3.24
2017-09-14,12:27:34,16.31,3.24
2017-09-14,12:27:35,16.31,3.24
2017-09-14,12:27:36,16.31,3.24
2017-09-14,12:27:37,16.31,3.24
2017-09-14,12:27:38,16.31,3.24
2017-09-14,12:27:39,16.15,3.24
2017-09-14,12:27:40,16.15,3.24
2017-09-14,12:27:41,16.31,3.24
2017-09-14,12:27:42,16.31,3.24
2017-09-14,12:27:43,16.31,3.24
2017-09-14,12:27:44,16.31,3.24
2017-09-14,12:27:45,16.31,3.24
2017-09-14,12:27:46,16.31,3.24
2017-09-14,12:27:47,16.31,3.24
2017-09-14,12:27:48,16.31,3.24
2017-09-14,12:27:49,16.31,3.24
2017-09-14,12:27:50,16.31,3.24
2017-09-14,12:27:51,16.31,3.24
2017-09-14,12:27:52,16.31,3.24
2017-09-14,12:27:53,16.31,3.24
2017-09-14,12:27:54,16.31,3.24
2017-09-14,12:27:55,16.31,3.24
2017-09-14,12:27:56,16.31,3.24
2017-09-14,12:27:57,16.31,3.24
2017-09-14,12:27:58,16.31,3.24
2017-09-14,12:27:59,16.15,3.24
2017-09-14,12:28:00,16.15,3.24
2017-09-14,12:28:01,16.31,3.24
2017-09-14,12:28:02,16.15,4.86
2017-09-14,12:28:03,16.15,3.24
2017-09-14,12:28:04,16.15,3.24
2017-09-14,12:28:05,16.15,3.24
2017-09-14,12:28:06,16.15,3.24
2017-09-14,12:28:07,16.15,4.86
2017-09-14,12:28:08,16.15,3.24
2017-09-14,12:28:09,16.15,3.24
2017-09-14,12:28:10,16.15,3.24
2017-09-14,12:28:11,16.15,3.24
2017-09-14,12:28:12,16.15,4.86
2017-09-14,12:28:13,16.15,4.86
2017-09-14,12:28:14,16.15,4.86
2017-09-14,12:28:15,16.15,4.86
2017-09-14,12:28:16,16.15,4.86
2017-09-14,12:28:17,16.15,4.86
2017-09-14,12:28:18,16.15,4.86
2017-09-14,12:28:19,16.15,4.86
2017-09-14,12:28:20,16.15,4.86
2017-09-14,12:28:21,16.15,4.86
2017-09-14,12:28:22,16.15,6.49
2017-09-14,12:28:23,16.15,6.49
2017-09-14,12:28:24,16.15,6.49
2017-09-14,12:28:25,16.15,6.49
2017-09-14,12:28:26,16.15,6.49
2017-09-14,12:28:27,16.15,6.49
