FileName: C:\2005NE~1\GP252.TXT
Local Time: Fri Sep 16 18:14:43 2005

Ship: Marco Michel Trip: 09 Tow: gp252
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050916  211741  47  12.2560 N  60  42.1630 W   6.0        2.2        2.7        8.1       11.0       35.6*
050916  211743  47  12.2540 N  60  42.1670 W   6.4        2.2        2.7        8.1       11.0       35.6 
050916  211745  47  12.2510 N  60  42.1700 W   6.4        2.6*       2.7        8.1       11.0       35.6 
050916  211747  47  12.2490 N  60  42.1740 W   6.1        2.6        2.7        8.1       11.0       45.7*
050916  211749  47  12.2470 N  60  42.1780 W   5.9        2.6        2.7        8.1       11.0       45.7 
050916  211751  47  12.2440 N  60  42.1820 W   6.7        2.6        2.7        8.1       11.0       45.7 
050916  211753  47  12.2420 N  60  42.1850 W   6.6        2.6        2.7        8.1       10.7*      42.7*
050916  211755  47  12.2390 N  60  42.1890 W   5.9        2.6        2.7        8.1       10.7       42.7 
050916  211757  47  12.2360 N  60  42.1930 W   6.1        2.6        2.7        8.1       10.7       43.1*
050916  211759  47  12.2340 N  60  42.1960 W   6.8        2.6        2.7        8.1        9.2*      43.1 
050916  211801  47  12.2310 N  60  42.2000 W   5.9        2.6        2.7        8.1        9.2       43.1 
050916  211803  47  12.2290 N  60  42.2030 W   6.4        2.6        2.7        8.1        8.4*      40.5*
050916  211805  47  12.2260 N  60  42.2070 W   6.6        2.6        2.7        8.1        8.4       40.5 
050916  211807  47  12.2230 N  60  42.2100 W   5.6        2.6        2.7        8.1        8.4       28.2*
050916  211809  47  12.2210 N  60  42.2120 W   5.0        2.6        2.7        8.1        7.4*      28.2 
050916  211811  47  12.2190 N  60  42.2150 W   4.9        2.6        2.7        8.1        7.4       28.2 
050916  211813  47  12.2170 N  60  42.2170 W   4.0        2.6        2.7        8.1        7.4       44.9*
050916  211815  47  12.2160 N  60  42.2200 W   3.9        2.6        2.7        8.1        9.1*      44.9 
050916  211817  47  12.2140 N  60  42.2210 W   3.4        2.6        2.7        8.1        9.1       44.9 
050916  211819  47  12.2130 N  60  42.2230 W   3.3        2.6        2.7        8.1        7.1*      36.1*
050916  211821  47  12.2120 N  60  42.2250 W   3.3        2.6       10.4*       8.1        7.1       36.1 
050916  211823  47  12.2100 N  60  42.2260 W   2.6        2.6       10.4        8.1        7.1       40.5*
050916  211825  47  12.2090 N  60  42.2270 W   2.9        2.6       10.4        8.1        8.0*      40.5 
050916  211827  47  12.2080 N  60  42.2280 W   2.7        2.6        2.3*       8.1        8.0       40.5 
050916  211829  47  12.2070 N  60  42.2300 W   2.3        2.6        2.3        8.1       10.1*      57.6*
050916  211831  47  12.2060 N  60  42.2310 W   2.5        2.6        2.3        8.1       10.1       57.6 
050916  211833  47  12.2050 N  60  42.2320 W   2.1        2.6        2.3        8.1       10.1       57.6 
050916  211835  47  12.2040 N  60  42.2330 W   2.8        3.0*       2.3        8.1        6.8*      33.4*
050916  211837  47  12.2020 N  60  42.2340 W   1.8        3.0        2.3        8.1        6.8       33.4 
050916  211839  47  12.2010 N  60  42.2350 W   2.4        3.0        2.3        8.1        6.8       55.0*
050916  211841  47  12.2010 N  60  42.2360 W   2.3        3.0        2.3        8.1        6.3*      55.0 
050916  211843  47  12.2000 N  60  42.2370 W   2.1        3.0        2.3        8.1        6.3       55.0 
050916  211845  47  12.1990 N  60  42.2380 W   2.3        3.0        2.3        8.1        7.1*      38.3*
050916  211847  47  12.1970 N  60  42.2390 W   2.1        3.0        2.3        8.1        7.1       38.3 
