FileName: C:\2005NE~1\GP258.TXT
Local Time: Sat Sep 17 17:19:31 2005

Ship: Marco Michel Trip: 09 Tow: gp258
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  202334  46  54.2300 N  61  14.5400 W   2.0       11.4       11.8        0.0       10.3*      68.2 
050917  202336  46  54.2290 N  61  14.5400 W   2.4       11.4       11.8        0.0       10.3       63.3*
050917  202338  46  54.2280 N  61  14.5400 W   1.5       11.4       11.8        0.0       10.3       63.3 
050917  202340  46  54.2270 N  61  14.5400 W   2.3       11.4       11.8        0.0        9.5*      68.2*
050917  202342  46  54.2260 N  61  14.5400 W   2.4       11.4       11.8        0.0        9.5       68.2 
050917  202344  46  54.2250 N  61  14.5400 W   1.9       11.4       11.8        0.0        9.5       68.2 
050917  202346  46  54.2240 N  61  14.5390 W   1.9       11.4       11.8        0.0        9.5       64.7*
050917  202348  46  54.2230 N  61  14.5390 W   2.2       11.4       11.8        0.0        9.5       64.7 
050917  202350  46  54.2210 N  61  14.5390 W   2.1       11.4       11.8        0.0        9.4*      64.7 
050917  202352  46  54.2200 N  61  14.5390 W   1.9       11.4       11.8        0.0        9.4       66.9*
050917  202354  46  54.2190 N  61  14.5390 W   2.0       11.4       11.8        0.0        9.4       66.9 
050917  202356  46  54.2180 N  61  14.5390 W   2.2       11.4       11.8        0.0       10.5*      65.1*
050917  202358  46  54.2170 N  61  14.5390 W   2.0       11.4       11.8        0.0       10.5       65.1 
050917  202400  46  54.2160 N  61  14.5390 W   2.0       11.4       11.8        0.0       10.8*      65.1 
050917  202402  46  54.2150 N  61  14.5390 W   2.1       11.4       11.8        0.0       10.8       66.4*
050917  202404  46  54.2140 N  61  14.5390 W   2.4       11.4       11.8        0.0       10.8       66.4 
050917  202406  46  54.2120 N  61  14.5390 W   1.9       11.4       11.8        0.0       10.7*      66.4 
050917  202408  46  54.2110 N  61  14.5390 W   2.2       11.4       11.8        0.0       10.7       66.0*
050917  202410  46  54.2100 N  61  14.5390 W   1.9       11.4       11.8        0.0       10.3*      66.0 
050917  202412  46  54.2090 N  61  14.5390 W   2.2       11.4       11.8        0.0       10.3       65.1*
050917  202414  46  54.2080 N  61  14.5380 W   2.0       11.4       11.8        0.0       10.3       65.1 
050917  202416  46  54.2070 N  61  14.5380 W   1.9       11.4       11.8        0.0       10.5*      65.1 
050917  202418  46  54.2060 N  61  14.5380 W   2.1       11.4       11.8        0.0       10.5       67.3*
050917  202420  46  54.2050 N  61  14.5380 W   2.1       11.4       11.8        0.0       10.5       67.3 
050917  202422  46  54.2030 N  61  14.5380 W   2.0       11.4       11.8        0.0       10.8*      67.3 
050917  202424  46  54.2020 N  61  14.5370 W   2.3       11.4       11.8        0.0       10.8       66.9*
050917  202426  46  54.2010 N  61  14.5370 W   1.9       11.4       11.8        0.0       11.5*      66.9 
050917  202428  46  54.2000 N  61  14.5370 W   2.2       11.4       11.8        0.0       11.5       65.5*
050917  202430  46  54.1980 N  61  14.5370 W   1.9       11.4       11.8        0.0       11.5       65.5 
050917  202432  46  54.1980 N  61  14.5370 W   2.0       11.4       11.8        0.0       10.7*      65.5 
050917  202434  46  54.1970 N  61  14.5360 W   2.1       11.4       11.8        0.0       10.7       66.4*
050917  202436  46  54.1960 N  61  14.5350 W   2.1       11.4       11.8        0.0       10.7       66.4 
