FileName: C:\2005NE~1\GP155.TXT
Local Time: Sat Aug 27 13:35:30 2005

Ship: Marco Michel Trip: 08 Tow: gp155
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050827  164019  47  55.2510 N  64   2.4080 W   1.9        3.3        2.6        5.5        0.0       56.7 
050827  164020  47  55.2500 N  64   2.4080 W   1.9        3.3        2.6        5.6*       0.0       56.7 
050827  164023  47  55.2490 N  64   2.4100 W   1.8        3.4*       2.6        5.6        0.0       60.3*
050827  164025  47  55.2480 N  64   2.4100 W   1.7        3.4        2.6        5.6        0.0       60.3 
050827  164027  47  55.2480 N  64   2.4110 W   1.7        3.4        2.6        5.0*       0.0       59.8*
050827  164029  47  55.2460 N  64   2.4120 W   1.8        3.4        2.3*       5.0        0.0       59.8 
050827  164031  47  55.2450 N  64   2.4120 W   1.9        3.4        2.3        5.4*       0.0       59.8 
050827  164033  47  55.2440 N  64   2.4130 W   1.9        3.4        2.3        5.4        0.0       62.5*
050827  164035  47  55.2440 N  64   2.4140 W   2.0        3.4*       2.3        5.4        0.0       62.5 
050827  164037  47  55.2430 N  64   2.4150 W   1.9        3.4        2.3        4.9*       0.0       62.5 
050827  164039  47  55.2420 N  64   2.4160 W   2.0        3.4        2.3        4.9        0.0       67.3*
050827  164040  47  55.2410 N  64   2.4160 W   2.1        3.4        2.3        5.2*       0.0       67.3 
050827  164043  47  55.2400 N  64   2.4170 W   2.1        3.4        2.3        5.2        0.0       64.2*
050827  164045  47  55.2390 N  64   2.4180 W   2.1        3.4        2.3        5.2        0.0       64.2 
050827  164047  47  55.2370 N  64   2.4190 W   2.1        3.4        2.3        4.4*       0.0       64.2 
050827  164049  47  55.2360 N  64   2.4200 W   2.1        3.4        2.3        4.4        0.0       67.3*
050827  164050  47  55.2360 N  64   2.4210 W   2.1        3.4        2.3        4.4        0.0       67.3 
050827  164053  47  55.2340 N  64   2.4220 W   2.0        3.4        2.3*       5.3*       0.0       67.3 
050827  164055  47  55.2330 N  64   2.4230 W   2.1        3.4        2.3        5.3        0.0       72.6*
050827  164057  47  55.2320 N  64   2.4240 W   2.0        3.4        2.3        4.8*       0.0       72.6 
050827  164059  47  55.2310 N  64   2.4250 W   2.0        3.4        2.3        4.8        0.0       73.5*
050827  164101  47  55.2300 N  64   2.4260 W   1.9        3.3*       2.3        4.8        0.0       73.5 
050827  164103  47  55.2290 N  64   2.4270 W   1.9        3.3        2.3        5.2*       0.0       73.5 
050827  164105  47  55.2280 N  64   2.4280 W   1.8        3.3        2.3        5.2        0.0       74.3*
050827  164107  47  55.2270 N  64   2.4280 W   1.8        3.3        2.3        5.2        0.0       74.3 
050827  164109  47  55.2260 N  64   2.4290 W   1.8        3.3        2.3        4.9*       0.0       74.3 
050827  164111  47  55.2250 N  64   2.4300 W   1.7        3.3        2.3        4.9        0.0       77.0*
050827  164113  47  55.2250 N  64   2.4310 W   1.7        3.3        2.3        5.2*       0.0       77.0 
050827  164115  47  55.2240 N  64   2.4320 W   1.7        3.3        2.3        5.2        0.0       77.0 
050827  164117  47  55.2230 N  64   2.4320 W   1.8        3.3        2.3        5.2        0.0       81.4*
050827  164119  47  55.2220 N  64   2.4330 W   1.9        3.3        3.5*       5.2*       0.0       81.4 
050827  164121  47  55.2210 N  64   2.4340 W   1.9        3.3        3.5        5.2        0.0       80.1*
050827  164123  47  55.2200 N  64   2.4350 W   1.9        3.3        3.5        5.0*       0.0       80.1 
050827  164125  47  55.2190 N  64   2.4350 W   1.9        3.3        3.5        5.0        0.0       80.1 
050827  164127  47  55.2180 N  64   2.4360 W   2.0       10.2*       3.5        5.0        0.0       83.1*
050827  164129  47  55.2170 N  64   2.4370 W   2.0       10.2        3.5        5.6*       0.0       83.1 
050827  164131  47  55.2160 N  64   2.4380 W   1.9       10.2        3.5        5.6        0.0       83.1 
050827  164133  47  55.2150 N  64   2.4390 W   2.0       10.2        3.7*       5.6        0.0       84.5*
050827  164135  47  55.2150 N  64   2.4400 W   1.8       10.2        3.7        5.3*       0.0       84.5 
050827  164137  47  55.2140 N  64   2.4400 W   2.0       10.2        3.7        5.3        0.0       86.2*
050827  164139  47  55.2130 N  64   2.4410 W   2.0       10.2        3.7        6.2*       0.0       86.2 
050827  164141  47  55.2110 N  64   2.4420 W   1.9        4.7*       3.7        6.2        0.0       86.2 
050827  164143  47  55.2090 N  64   2.4430 W   2.0        4.7        3.7        6.2        0.0       87.5*
050827  164145  47  55.2090 N  64   2.4440 W   1.9        4.7        3.7        6.4*       0.0       87.5 
050827  164147  47  55.2070 N  64   2.4450 W   1.9        4.7        3.7        6.4        0.0       87.5 
050827  164149  47  55.2070 N  64   2.4460 W   1.9        4.7        3.7        6.4        0.0       87.5*
050827  164151  47  55.2060 N  64   2.4470 W   2.0        4.7        3.7        8.3*       0.0       87.5 
050827  164153  47  55.2050 N  64   2.4480 W   2.0        4.7        3.7        8.3        0.0       88.9*
050827  164155  47  55.2030 N  64   2.4480 W   2.0        4.7        3.7        9.4*       0.0       88.9 
050827  164157  47  55.2030 N  64   2.4490 W   1.9        4.7        3.7        9.4        0.0       88.9 
050827  164159  47  55.2020 N  64   2.4500 W   1.8        4.7        3.7        9.4        0.0       88.4*
050827  164201  47  55.2010 N  64   2.4510 W   1.9        4.7        3.7        8.3*       0.0       88.4 
050827  164203  47  55.1990 N  64   2.4520 W   2.0        4.7        3.7        8.3        0.0       88.4 
050827  164205  47  55.1980 N  64   2.4530 W   2.1        4.7        3.7        8.8*       0.0       88.4*
050827  164207  47  55.1970 N  64   2.4540 W   2.0        4.7        3.7        8.8        0.0       88.4 
050827  164209  47  55.1970 N  64   2.4550 W   2.0        4.7        3.7        8.8        0.0       86.2*
050827  164211  47  55.1970 N  64   2.4550 W   1.9        4.7        3.7       13.2*       0.0       86.2 
050827  164213  47  55.1960 N  64   2.4560 W   1.9        4.7        3.7       13.2        0.0       86.2 
050827  164215  47  55.1950 N  64   2.4560 W   2.0        4.7        9.9*      13.2        0.0       90.6*
050827  164217  47  55.1940 N  64   2.4570 W   2.0        4.7        9.9        4.5*       0.0       90.6 
