FileName: C:\WINDOWS\DESKTOP\GULFNE~1\GP142.TXT
Local Time: Fri Jul 26 10:34:13 2002

Ship: GULF2002 Trip: TRIP002 Tow: GP142
Comments: ZONE PEI NORD DE LA POINTE DE L'EST
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary      Depth 
020726  133538  46  48.2650 N  62   1.2180 W   1.3        2.7       11.6        4.8 
020726  133538  46  48.2650 N  62   1.2180 W   1.3        2.7       11.6        4.8 
020726  133538  46  48.2650 N  62   1.2180 W   1.3        2.7       11.6        4.8 
020726  133538  46  48.2650 N  62   1.2180 W   1.3        2.7       11.6        4.8 
020726  133538  46  48.2650 N  62   1.2180 W   1.3        2.7       11.6        4.8 
020726  133540  46  48.2650 N  62   1.2190 W   1.2        2.7       11.6        4.8 
020726  133540  46  48.2650 N  62   1.2190 W   1.2        2.7       11.6        4.8 
020726  133540  46  48.2650 N  62   1.2190 W   1.2        2.7       11.6        4.8 
020726  133540  46  48.2650 N  62   1.2190 W   1.2        2.7       11.6        4.8 
020726  133540  46  48.2650 N  62   1.2190 W   1.2        2.7       11.6        4.8 
020726  133542  46  48.2660 N  62   1.2200 W   1.3        2.7       11.6        4.8 
020726  133542  46  48.2660 N  62   1.2200 W   1.3        2.7       11.6        4.8 
020726  133542  46  48.2660 N  62   1.2200 W   1.3        2.7       11.6       11.9*
020726  133542  46  48.2660 N  62   1.2200 W   1.3        2.7       11.6       11.9 
020726  133542  46  48.2660 N  62   1.2200 W   1.3        2.7       11.6       11.9 
020726  133544  46  48.2660 N  62   1.2210 W   1.3        2.7       11.6       11.9 
020726  133544  46  48.2660 N  62   1.2210 W   1.3        2.7       11.6       11.9 
020726  133544  46  48.2660 N  62   1.2210 W   1.3        2.7       11.6       11.9 
020726  133544  46  48.2660 N  62   1.2210 W   1.3        2.7       11.6       11.9 
020726  133544  46  48.2660 N  62   1.2210 W   1.3        2.7       11.6       11.9 
020726  133544  46  48.2660 N  62   1.2210 W   1.3        2.7       11.6       11.9 
020726  133544  46  48.2660 N  62   1.2210 W   1.3        2.7       11.6       11.9 
020726  133544  46  48.2660 N  62   1.2210 W   1.3        2.7       11.6       11.9 
020726  133544  46  48.2660 N  62   1.2210 W   1.3        2.7       11.6       11.9 
020726  133546  46  48.2660 N  62   1.2220 W   1.4        2.7       11.6       11.9 
020726  133546  46  48.2660 N  62   1.2220 W   1.4        2.7       11.6       11.9 
020726  133546  46  48.2660 N  62   1.2220 W   1.4        2.7       11.6       11.9 
020726  133546  46  48.2660 N  62   1.2220 W   1.4        2.7       11.6       10.1*
020726  133546  46  48.2660 N  62   1.2220 W   1.4        2.7       11.6       10.1 
020726  133548  46  48.2660 N  62   1.2230 W   1.4        2.7       11.6       10.1 
020726  133548  46  48.2660 N  62   1.2230 W   1.4        2.7       11.6       10.1 
020726  133548  46  48.2660 N  62   1.2230 W   1.4        2.7       11.6       10.1 
020726  133548  46  48.2660 N  62   1.2230 W   1.4        2.7       11.6       10.1 
020726  133548  46  48.2660 N  62   1.2230 W   1.4        2.7       11.6       10.1 
020726  133548  46  48.2660 N  62   1.2230 W   1.4        2.7       11.6       10.1 
020726  133550  46  48.2660 N  62   1.2250 W   2.2        2.7       11.4*      10.1 
020726  133550  46  48.2660 N  62   1.2250 W   2.2        2.7       11.4       10.1 
020726  133550  46  48.2660 N  62   1.2250 W   2.2        2.7       11.4       10.1 
020726  133550  46  48.2660 N  62   1.2250 W   2.2        2.7       11.4       10.1 
020726  133550  46  48.2660 N  62   1.2250 W   2.2        2.7       11.4       10.1 
020726  133552  46  48.2670 N  62   1.2270 W   2.8        2.7       11.4       10.1 
020726  133552  46  48.2670 N  62   1.2270 W   2.8        2.7       11.4       10.1 
020726  133552  46  48.2670 N  62   1.2270 W   2.8        2.7       11.4       10.1 
020726  133552  46  48.2670 N  62   1.2270 W   2.8        2.7       11.4       12.8*
020726  133552  46  48.2670 N  62   1.2270 W   2.8        2.7       11.4       12.8 
020726  133554  46  48.2670 N  62   1.2290 W   3.2        2.7       11.4       12.8 
020726  133554  46  48.2670 N  62   1.2290 W   3.2        2.7       11.4       12.8 
020726  133554  46  48.2670 N  62   1.2290 W   3.2        2.7       11.4       12.8 
020726  133554  46  48.2670 N  62   1.2290 W   3.2        2.7       11.4       12.8 
020726  133554  46  48.2670 N  62   1.2290 W   3.2        2.7       11.4       12.8 
020726  133554  46  48.2670 N  62   1.2290 W   3.2        2.7       11.4       12.8 
020726  133554  46  48.2670 N  62   1.2290 W   3.2        2.7       11.4       12.8 
020726  133554  46  48.2670 N  62   1.2290 W   3.2        2.7       11.4       12.8 
020726  133554  46  48.2670 N  62   1.2290 W   3.2        2.7       11.4       12.8 
020726  133556  46  48.2680 N  62   1.2320 W   3.8        2.7       11.4       12.8 
020726  133556  46  48.2680 N  62   1.2320 W   3.8        2.7       11.4       12.8 
020726  133556  46  48.2680 N  62   1.2320 W   3.8        2.7       11.4       12.8 
020726  133556  46  48.2680 N  62   1.2320 W   3.8        2.7       11.4       12.8 
020726  133556  46  48.2680 N  62   1.2320 W   3.8        2.7       11.4       12.8 
020726  133558  46  48.2690 N  62   1.2350 W   4.3        2.7       11.4       12.8 
020726  133558  46  48.2690 N  62   1.2350 W   4.3        2.7       11.4       12.8 
020726  133558  46  48.2690 N  62   1.2350 W   4.3        2.7       11.4       66.0*
020726  133558  46  48.2690 N  62   1.2350 W   4.3        2.7       11.4       66.0 
020726  133558  46  48.2690 N  62   1.2350 W   4.3        2.7       11.4       66.0 
020726  133558  46  48.2690 N  62   1.2350 W   4.3        2.7       11.4       66.0 
020726  133600  46  48.2700 N  62   1.2380 W   4.5        2.7       11.4       66.0 
020726  133600  46  48.2700 N  62   1.2380 W   4.5        2.7       11.4       66.0 
020726  133600  46  48.2700 N  62   1.2380 W   4.5        2.7       11.4       66.0 
020726  133600  46  48.2700 N  62   1.2380 W   4.5        2.7       11.4       66.0 
020726  133600  46  48.2700 N  62   1.2380 W   4.5        2.7       11.4       66.0 
020726  133602  46  48.2710 N  62   1.2420 W   4.9        2.7       11.4       66.0 
020726  133602  46  48.2710 N  62   1.2420 W   4.9        2.7       11.4       66.0 
020726  133602  46  48.2710 N  62   1.2420 W   4.9        2.7       11.4       66.0 
020726  133602  46  48.2710 N  62   1.2420 W   4.9        2.7       11.4       66.0 
020726  133602  46  48.2710 N  62   1.2420 W   4.9        2.7       11.4       66.0 
020726  133604  46  48.2720 N  62   1.2460 W   5.3        2.7       11.4       66.0 
020726  133604  46  48.2720 N  62   1.2460 W   5.3        2.7       11.4       66.0 
020726  133604  46  48.2720 N  62   1.2460 W   5.3        2.7       11.4       66.0 
