FileName: C:\2005CA~1\CTY0302.TXT
Local Time: Thu Oct 06 18:20:47 2005

Ship: Marco Michel Trip: 01 Tow: cty0302
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051006  212527  47  25.8810 N  62  32.9640 W   1.6        4.4       11.1        4.7        9.3       80.8*
051006  212529  47  25.8810 N  62  32.9650 W   1.9        4.4       11.1        5.1*      12.0*      80.8 
051006  212531  47  25.8800 N  62  32.9660 W   1.8        4.4       11.1        5.1       12.0       80.8 
051006  212533  47  25.8790 N  62  32.9680 W   1.9        4.4       11.1        4.8*      12.0       79.5*
051006  212535  47  25.8790 N  62  32.9690 W   1.7        4.4       11.1        4.8       12.0       79.5 
051006  212537  47  25.8780 N  62  32.9710 W   1.8        4.4       11.1        4.8       12.0       79.5 
051006  212539  47  25.8770 N  62  32.9710 W   1.9        4.4       11.1        5.3*      11.5*      80.8*
051006  212541  47  25.8770 N  62  32.9730 W   1.7        4.4       11.1        5.3       11.5       80.8 
051006  212543  47  25.8770 N  62  32.9740 W   2.0        4.4       11.1        5.3       11.5       79.1*
051006  212545  47  25.8760 N  62  32.9750 W   1.8        4.4       11.1        5.3*      11.5       79.1 
051006  212547  47  25.8750 N  62  32.9760 W   1.8        4.4       11.1        5.3       11.5       79.1 
051006  212549  47  25.8740 N  62  32.9780 W   1.8        4.4       11.1        5.6*      10.1*      82.2*
051006  212551  47  25.8740 N  62  32.9790 W   1.9        4.4       11.1        5.6       10.1       82.2 
051006  212553  47  25.8730 N  62  32.9800 W   2.0        4.4       11.1        5.6       10.1       82.2 
051006  212555  47  25.8720 N  62  32.9810 W   1.5        4.4       11.1       10.8*      15.5*      80.8*
051006  212557  47  25.8710 N  62  32.9820 W   2.5        4.4       11.1       10.8       15.5       80.8 
051006  212559  47  25.8700 N  62  32.9840 W   1.3        4.4       11.1        0.3*       6.5*      82.2*
051006  212601  47  25.8700 N  62  32.9850 W   2.3        4.4       11.1        0.3        6.5       82.2 
051006  212603  47  25.8690 N  62  32.9860 W   1.7        4.4       11.1        0.3        6.5       82.2 
051006  212605  47  25.8680 N  62  32.9870 W   1.9        4.4       11.1        5.7*       8.7*      79.5*
051006  212607  47  25.8680 N  62  32.9880 W   2.1        4.4       11.1        5.7        8.7       79.5 
051006  212609  47  25.8670 N  62  32.9890 W   1.5        4.4       11.1        5.7        8.7       79.5 
051006  212611  47  25.8660 N  62  32.9910 W   2.9        4.4       11.1        5.3*       8.7       81.3*
051006  212613  47  25.8650 N  62  32.9920 W   1.0        4.4       11.1        5.3        8.7       81.3 
051006  212615  47  25.8650 N  62  32.9930 W   2.9        4.4       11.1        5.5*       8.7       81.3 
051006  212617  47  25.8640 N  62  32.9940 W   1.4        4.4       11.1        5.5        8.7       83.5*
051006  212619  47  25.8630 N  62  32.9950 W   2.4        4.4       11.1        5.5        8.7       83.5 
051006  212621  47  25.8620 N  62  32.9970 W   2.0        4.4       11.1        6.0*      25.9*      75.6*
051006  212623  47  25.8610 N  62  32.9980 W   2.1        4.4       11.1        6.0       25.9       75.6 
051006  212625  47  25.8600 N  62  32.9990 W   2.1        4.4       11.1        6.0       25.9       75.6 
051006  212627  47  25.8600 N  62  33.0000 W   1.9        4.4       11.1        5.6*      25.9       81.3*
051006  212629  47  25.8590 N  62  33.0010 W   1.9        4.4       11.1        5.6       25.9       81.3 
051006  212631  47  25.8580 N  62  33.0030 W   2.3        4.4       11.1        5.6*       6.7*      81.3 
051006  212633  47  25.8570 N  62  33.0040 W   1.7        4.4       11.1        5.6        6.7       80.8*
051006  212635  47  25.8570 N  62  33.0050 W   1.9        4.4       11.4*       5.6        6.7       80.8 
051006  212637  47  25.8560 N  62  33.0060 W   1.9        4.4       11.4        5.7*      26.9*      82.2*
051006  212639  47  25.8550 N  62  33.0080 W   1.9        4.4       11.4        5.7       26.9       82.2 
051006  212641  47  25.8550 N  62  33.0090 W   1.2        4.4       11.4        6.2*      26.9       82.2 
051006  212643  47  25.8540 N  62  33.0090 W   2.4        4.4       11.4        6.2        6.4*      80.8*
051006  212645  47  25.8540 N  62  33.0100 W   1.3        4.4       11.4        6.2        6.4       80.8 
051006  212647  47  25.8530 N  62  33.0120 W   2.3        4.4       12.2*       5.3*       6.4*      80.8 
051006  212649  47  25.8520 N  62  33.0130 W   1.6        4.4       12.2        5.3        6.4       80.4*
051006  212651  47  25.8520 N  62  33.0140 W   2.1        4.4       12.2        5.3        6.4       80.4 
051006  212654  47  25.8510 N  62  33.0160 W   1.6        4.4       12.2        6.2*       7.0*     125.2*
051006  212655  47  25.8500 N  62  33.0160 W   2.2        4.4       12.2        6.2        7.0      125.2 
051006  212657  47  25.8500 N  62  33.0180 W   1.5        4.4       12.2        6.3*       7.0      125.2 
051006  212659  47  25.8490 N  62  33.0190 W   2.0        4.4       12.2        6.3        7.4*      36.5*
051006  212701  47  25.8480 N  62  33.0210 W   2.2        4.4       12.2        6.3        7.4       36.5 
051006  212703  47  25.8480 N  62  33.0220 W   1.6        4.4       12.2        5.1*       7.4       36.5 
051006  212705  47  25.8470 N  62  33.0240 W   2.5        4.4       12.2        5.1        7.4       81.3*
051006  212707  47  25.8470 N  62  33.0240 W   1.4        4.4       12.2        5.1        7.4       81.3 
051006  212709  47  25.8460 N  62  33.0250 W   2.4        4.4       12.2        5.0*      28.7*      80.4*
051006  212711  47  25.8450 N  62  33.0270 W   1.5        4.4       10.7*       5.0       28.7       80.4 
051006  212713  47  25.8440 N  62  33.0280 W   2.1        4.4       10.7        5.7*       6.6*      80.4 
051006  212715  47  25.8430 N  62  33.0300 W   1.9        4.4       10.7        5.7        6.6       80.0*
051006  212717  47  25.8430 N  62  33.0310 W   1.6        4.4       10.7        5.7        6.6       80.0 
051006  212719  47  25.8420 N  62  33.0320 W   2.2        4.4       10.7        5.8*       6.4*      80.0 
051006  212721  47  25.8420 N  62  33.0330 W   1.6        4.4       10.7        5.8        6.4       80.4*
051006  212723  47  25.8410 N  62  33.0340 W   2.4        4.4       11.0*       9.6*       6.4       80.4 
051006  212725  47  25.8400 N  62  33.0360 W   1.4        4.4       11.0        9.6        6.8*      80.4 
051006  212727  47  25.8400 N  62  33.0370 W   2.4        4.4       11.0        9.6        6.8       99.3*
051006  212729  47  25.8390 N  62  33.0380 W   1.3        4.4       11.0        1.4*       6.8       99.3 
051006  212731  47  25.8380 N  62  33.0390 W   2.2        4.4       11.0        1.4        6.8       61.9*
051006  212733  47  25.8380 N  62  33.0410 W   1.8        4.4       11.0        1.4        6.8       61.9 
051006  212735  47  25.8370 N  62  33.0420 W   1.7        4.4       11.0        5.7*      81.0*      61.9 
051006  212737  47  25.8360 N  62  33.0430 W   1.9        4.4       11.0        5.7       81.0       80.0*
051006  212739  47  25.8360 N  62  33.0440 W   1.9        4.4       11.0        5.5*      81.0       80.0 
051006  212741  47  25.8350 N  62  33.0460 W   1.6        4.4       11.0        5.5       81.0       80.0*
051006  212743  47  25.8340 N  62  33.0470 W   2.3        4.4       11.0        5.5       81.0       80.0 
051006  212745  47  25.8340 N  62  33.0480 W   1.6        4.4       11.0       10.3*       8.0*      80.0 
051006  212747  47  25.8330 N  62  33.0500 W   2.1        4.4       11.0       10.3        8.0       82.6*
051006  212749  47  25.8330 N  62  33.0510 W   1.7        4.4       11.0       10.3        8.0       82.6 
051006  212751  47  25.8320 N  62  33.0520 W   1.7        4.4       11.0        1.1*      44.5*      82.6 
051006  212753  47  25.8310 N  62  33.0530 W   2.1        4.4       11.0        1.1       44.5       78.2*
051006  212755  47  25.8310 N  62  33.0540 W   1.7        4.4       11.0        5.4*      44.5       78.2 
051006  212757  47  25.8300 N  62  33.0560 W   2.0        4.4       11.0        5.4       44.5       78.2 
051006  212800  47  25.8290 N  62  33.0580 W   1.9        4.4       11.0        5.4       44.5       83.0*
051006  212801  47  25.8290 N  62  33.0590 W   1.7        4.4       11.0        5.3*       2.7*      83.0 
051006  212803  47  25.8280 N  62  33.0600 W   2.0        4.4       11.0        5.3        2.7       90.9*
051006  212806  47  25.8270 N  62  33.0610 W   2.0        4.4       11.0        5.9*       2.7       90.9 
051006  212807  47  25.8270 N  62  33.0620 W   1.9        4.4       11.0        5.9        2.7       90.9 
051006  212809  47  25.8260 N  62  33.0640 W   1.9        4.4       11.0        5.9        2.7       69.9*
051006  212811  47  25.8250 N  62  33.0650 W   2.2        4.4       11.0        5.3*      17.5*      69.9 
051006  212813  47  25.8250 N  62  33.0660 W   1.6        4.4       11.0        5.3       17.5       69.9 
051006  212815  47  25.8240 N  62  33.0670 W   2.0        4.4       11.0        5.7*      17.5       81.3*
051006  212818  47  25.8230 N  62  33.0690 W   1.8        4.4       11.0        5.7       40.5*      81.3 
051006  212819  47  25.8230 N  62  33.0700 W   1.8        4.4       11.0        5.7       40.5       77.8*
051006  212821  47  25.8220 N  62  33.0710 W   2.2        4.4       11.0        5.6*      40.5       77.8 
051006  212824  47  25.8210 N  62  33.0730 W   2.7        4.4       11.0        5.6        6.3*      77.8 
051006  212825  47  25.8210 N  62  33.0740 W   2.6        4.4       11.0        5.6        6.3       81.3*
051006  212827  47  25.8200 N  62  33.0750 W   1.1        4.4       11.0        5.4*       6.3       81.3 
051006  212830  47  25.8190 N  62  33.0780 W   1.9        4.4       11.0        5.4        6.3       81.3 
051006  212831  47  25.8190 N  62  33.0780 W   1.7        4.4       11.0        5.6*       6.3       83.0*
051006  212833  47  25.8180 N  62  33.0790 W   2.1        4.4       11.0        5.6       51.5*      83.0 
051006  212836  47  25.8170 N  62  33.0820 W   2.2        4.4       11.0        5.6       51.5       79.1*
051006  212837  47  25.8170 N  62  33.0820 W   1.6        4.4       11.0        5.9*       7.8*      79.1 
051006  212839  47  25.8160 N  62  33.0830 W   2.2        4.4       11.0        5.9        7.8       79.1 
051006  212842  47  25.8150 N  62  33.0850 W   1.8        4.4       11.0        5.4*       7.8       81.7*
051006  212843  47  25.8150 N  62  33.0860 W   1.9        4.4       11.0        5.4        7.8       81.7 
051006  212845  47  25.8140 N  62  33.0870 W   2.2        4.4       11.0        5.4        7.8       81.7 
051006  212848  47  25.8140 N  62  33.0890 W   2.3        4.4       10.7*       5.3*      57.9*      81.3*
051006  212849  47  25.8130 N  62  33.0900 W   2.5        4.4       10.7        5.3       57.9       81.3 
051006  212851  47  25.8130 N  62  33.0910 W   1.2        4.4       10.7        5.3       57.9       80.4*
051006  212854  47  25.8120 N  62  33.0930 W   1.7        4.4       10.7        8.1*       6.8*      80.4 
051006  212855  47  25.8110 N  62  33.0940 W   1.7        4.4       10.7        8.1        6.8       80.4 
051006  212858  47  25.8100 N  62  33.0960 W   1.9        4.4       10.7        2.6*       6.8       78.6*
051006  212900  47  25.8100 N  62  33.0970 W   1.7        4.4       11.6*       2.6        6.2*      78.6 
051006  212901  47  25.8090 N  62  33.0980 W   1.8        4.4       11.6        2.6        6.2       78.6 
051006  212903  47  25.8090 N  62  33.0990 W   1.8        4.4       11.6        6.2*       6.2       81.7*
051006  212906  47  25.8080 N  62  33.1010 W   2.2        4.4       11.6        6.2        6.8*      81.7 
051006  212907  47  25.8070 N  62  33.1020 W   1.8        4.4       11.6        6.2        6.8       81.3*
051006  212909  47  25.8070 N  62  33.1030 W   2.4        4.4       11.6        5.0*       6.8*      81.3 
051006  212912  47  25.8060 N  62  33.1050 W   2.1        4.4       11.6        5.0        6.8       81.3 
051006  212913  47  25.8060 N  62  33.1060 W   2.8        4.4       11.6        1.1*       6.8       79.1*
051006  212915  47  25.8050 N  62  33.1070 W   1.1        4.4       11.6        1.1        6.7*      79.1 
051006  212918  47  25.8040 N  62  33.1100 W   1.7        4.4       11.6        1.1        6.7       79.1 
051006  212919  47  25.8040 N  62  33.1100 W   1.5        4.4       11.6       10.1*       6.8*      82.2*
051006  212921  47  25.8040 N  62  33.1120 W   2.4        4.4       11.6       10.1        6.8       82.2 
051006  212924  47  25.8030 N  62  33.1140 W   2.1        4.4       11.6        9.6*       6.8       79.1*
051006  212925  47  25.8020 N  62  33.1150 W   2.5        4.4       11.6        9.6        6.8       79.1 
051006  212927  47  25.8020 N  62  33.1160 W   1.1        4.4       11.6        9.6        6.8       79.1 
051006  212930  47  25.8010 N  62  33.1180 W   2.1        4.4       11.6        1.2*       6.8       81.7*
051006  212931  47  25.8010 N  62  33.1180 W   1.3        4.4       11.6        1.2       61.3*      81.7 
051006  212933  47  25.8000 N  62  33.1200 W   2.3        4.4       11.6        1.2       61.3       81.7 
051006  212936  47  25.7990 N  62  33.1220 W   1.7        4.4       11.0*       5.8*      61.3       80.4*
051006  212937  47  25.7990 N  62  33.1230 W   1.6        4.4       11.0        5.8       61.3       80.4 
051006  212939  47  25.7980 N  62  33.1240 W   2.4        4.4       11.0        7.1*       1.9*      80.4 
051006  212942  47  25.7980 N  62  33.1260 W   2.3        4.4       11.0        7.1        1.9       80.4 
051006  212943  47  25.7970 N  62  33.1270 W   2.4        4.4       11.0        7.1        1.9       80.4 
051006  212945  47  25.7970 N  62  33.1280 W   1.3        4.4       11.0        4.4*       1.9       80.4 
051006  212948  47  25.7950 N  62  33.1300 W   1.9        4.4       11.0        4.4       71.0*      80.4 
051006  212949  47  25.7950 N  62  33.1310 W   1.3        4.4       11.0        4.4       71.0       80.4 
