FileName: C:\2005CA~1\CTY0111.TXT
Local Time: Wed Oct 05 19:56:01 2005

Ship: Marco Michel Trip: 01 Tow: cty0111
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051005  225939  47  31.1820 N  62  46.9840 W   1.5        3.3        3.1        4.7*       4.6       49.6 
051005  225941  47  31.1820 N  62  46.9850 W   1.3        3.3        3.1        4.7        4.6       49.6 
051005  225943  47  31.1810 N  62  46.9850 W   1.7        3.3        5.5*       4.7        6.8*      59.7*
051005  225945  47  31.1800 N  62  46.9870 W   1.5        3.3        5.5        4.4*       6.8       59.7 
051005  225948  47  31.1800 N  62  46.9880 W   1.7        3.3        5.5        4.4        3.6*      59.7 
051005  225949  47  31.1790 N  62  46.9890 W   1.4        3.3        5.5        4.4*       3.6       57.1*
051005  225951  47  31.1790 N  62  46.9910 W   1.8        3.3       12.9*       4.4        3.6       57.1 
051005  225954  47  31.1780 N  62  46.9920 W   1.8        3.3       12.9        4.4        6.3*      58.4*
051005  225955  47  31.1780 N  62  46.9930 W   1.5        3.3       12.9        4.7*       6.3       58.4 
051005  225957  47  31.1770 N  62  46.9930 W   1.9        3.3       12.9        4.7        6.3       58.4 
051005  230000  47  31.1760 N  62  46.9950 W   1.9        3.3       12.9        4.4*       5.4*      60.2*
051005  230002  47  31.1760 N  62  46.9960 W   1.5        3.3       12.9        4.4        5.4       60.2 
051005  230003  47  31.1750 N  62  46.9970 W   1.4        3.3       12.9        4.4        5.9*      60.2 
051005  230006  47  31.1750 N  62  46.9980 W   1.8        3.3       12.9        4.8*       5.9       62.4*
051005  230007  47  31.1750 N  62  46.9990 W   1.3        3.3       12.9        4.8        5.9       62.4 
051005  230009  47  31.1740 N  62  47.0000 W   2.0        3.3       12.9        4.8        6.0*      57.6*
051005  230012  47  31.1720 N  62  47.0010 W   1.4        3.3       12.9        5.3*       6.0       57.6 
051005  230013  47  31.1720 N  62  47.0020 W   1.7        3.3       12.9        5.3        5.7*      57.6 
051005  230015  47  31.1720 N  62  47.0030 W   1.9        3.3       10.2*       4.9*       5.7       61.5*
051005  230018  47  31.1710 N  62  47.0050 W   1.8        3.3       10.2        4.9        5.7       61.5 
051005  230019  47  31.1710 N  62  47.0060 W   1.7        3.3       10.2        4.9        5.5*      61.5 
051005  230021  47  31.1700 N  62  47.0070 W   1.8        3.3        2.2*       5.1*       5.5       58.9*
051005  230024  47  31.1690 N  62  47.0090 W   2.0        3.3        2.2        5.1        5.5       58.9 
051005  230025  47  31.1690 N  62  47.0100 W   2.1        3.3        2.2        5.1        6.5*      61.1*
051005  230027  47  31.1680 N  62  47.0110 W   1.9        2.7*       2.2        5.5*       6.5       61.1 
051005  230030  47  31.1670 N  62  47.0130 W   2.0        2.7        2.2        5.5        6.5*      61.1 
051005  230031  47  31.1670 N  62  47.0140 W   1.6        2.7        2.2        5.2*       6.5       59.7*
051005  230033  47  31.1660 N  62  47.0150 W   2.2        2.7        2.2        5.2        6.5       59.7 
051005  230036  47  31.1640 N  62  47.0160 W   2.0        2.7        2.2        5.2        6.4*      59.7 
051005  230037  47  31.1640 N  62  47.0170 W   2.1        2.7        2.2        5.3*       6.4       59.7*
051005  230039  47  31.1630 N  62  47.0190 W   2.2        2.7        2.2        5.3        6.4       59.7 
051005  230042  47  31.1620 N  62  47.0210 W   2.2        2.7        2.2        5.3*       6.5*      59.3*
051005  230044  47  31.1610 N  62  47.0220 W   2.0        2.7        2.2        5.3        6.5       59.3 
051005  230045  47  31.1610 N  62  47.0230 W   2.2        2.7        2.2        5.3        6.2*      59.3 
051005  230048  47  31.1600 N  62  47.0250 W   2.1        2.7        2.2        5.7*       6.2       59.7*
051005  230049  47  31.1590 N  62  47.0260 W   2.1        2.7        2.2        5.7        6.2       59.7 
051005  230051  47  31.1590 N  62  47.0270 W   2.1        2.7        2.2        5.7        6.4*      59.7 
051005  230054  47  31.1580 N  62  47.0290 W   1.9        2.7        2.2        5.4*       6.4       59.7*
051005  230055  47  31.1570 N  62  47.0300 W   2.0        2.7        2.2        5.4        6.5*      59.7 
051005  230057  47  31.1570 N  62  47.0310 W   2.1        2.7        2.2        5.6*       6.5       58.9*
051005  230100  47  31.1560 N  62  47.0330 W   2.0        2.7        2.2        5.6        6.5       58.9 
051005  230101  47  31.1550 N  62  47.0340 W   2.0        2.7        2.2        5.6        6.9*      58.9 
051005  230103  47  31.1540 N  62  47.0350 W   2.1        2.3*       2.2        5.5*       6.9       59.3*
051005  230106  47  31.1530 N  62  47.0370 W   1.9        2.3        2.2        5.5        6.9       59.3 
051005  230107  47  31.1530 N  62  47.0370 W   2.4        2.3        2.2        5.5        6.4*      59.3 
051005  230109  47  31.1520 N  62  47.0380 W   1.5        2.3        2.2        7.8*       6.4       61.9*
051005  230112  47  31.1510 N  62  47.0400 W   2.4        2.3        2.2        7.8        6.4*      61.9 
051005  230113  47  31.1510 N  62  47.0410 W   1.4        2.3        2.2        3.4*       6.4       78.2*
051005  230115  47  31.1500 N  62  47.0420 W   2.2        2.3        2.2        3.4        6.4       78.2 
051005  230118  47  31.1490 N  62  47.0450 W   1.7        2.3        2.2        3.4        9.1*      78.2 
051005  230119  47  31.1490 N  62  47.0450 W   2.1        2.3        2.2        5.3*       9.1       41.7*
051005  230121  47  31.1480 N  62  47.0460 W   1.8        2.3        2.2        5.3        9.1       41.7 
051005  230124  47  31.1470 N  62  47.0480 W   1.8        2.3        2.2        5.9*       4.3*      58.4*
051005  230125  47  31.1460 N  62  47.0480 W   1.6        2.3        2.2        5.9        4.3       58.4 
051005  230127  47  31.1450 N  62  47.0500 W   2.3        2.3       11.1*       5.9        6.6*      58.4 
051005  230130  47  31.1450 N  62  47.0520 W   2.2        2.3       11.1        5.6*       6.6       61.1*
051005  230131  47  31.1440 N  62  47.0530 W   2.1        2.3       11.1        5.6        6.6       61.1 
051005  230133  47  31.1440 N  62  47.0540 W   1.9        2.3       11.1        5.6        6.8*      61.1 
051005  230136  47  31.1420 N  62  47.0550 W   1.6        2.3       11.1        5.8*       6.8       58.4*
051005  230137  47  31.1420 N  62  47.0560 W   1.9        2.3       11.1        5.8        7.3*      58.4 
051005  230139  47  31.1410 N  62  47.0570 W   1.9        2.3       11.1*       5.6*       7.3       58.4 
051005  230142  47  31.1410 N  62  47.0590 W   2.2        2.3       11.1        5.6        7.3       61.5*
051005  230143  47  31.1400 N  62  47.0600 W   2.0        2.3       11.1        5.6        6.4*      61.5 
051005  230146  47  31.1390 N  62  47.0620 W   2.0        2.3       11.1        5.6*       6.4       55.8*
051005  230148  47  31.1380 N  62  47.0630 W   1.9        2.3       11.1        5.6        6.4       55.8 
051005  230149  47  31.1380 N  62  47.0630 W   1.5        2.3       11.1        5.6        6.7*      55.8 
