% Instrument type = SBE56
% Serial Number = 05607477
% Firmware Version = SBE56 V0.96
% Conversion Date = 2018-09-12
% Source file = C:\Users\Temp\Desktop\MINILOG 2018\test\anchor outside 19 2017\SBE05607477_2018-09-12.xml
% Calibration Date = 2017-01-27
% Coefficients: 
%       A0 = -1.295961E-3
%       A1 = 3.416024E-4
%       A2 = -5.879263E-6
%       A3 = 1.880126E-7
"Date","Time","Temperature"
"2017-09-01","04:07:02","22.2728"
"2017-09-01","05:07:02","21.9046"
"2017-09-01","06:07:02","21.5199"
"2017-09-01","07:07:02","21.1130"
"2017-09-01","08:07:02","20.7877"
"2017-09-01","09:07:02","20.3956"
"2017-09-01","10:07:02","20.1330"
"2017-09-01","11:07:02","20.3333"
"2017-09-01","12:07:02","20.2406"
"2017-09-01","13:07:02","20.2743"
"2017-09-01","14:07:02","20.3916"
"2017-09-01","15:07:02","20.5572"
"2017-09-01","16:07:02","20.7606"
"2017-09-01","17:07:02","20.9823"
"2017-09-01","18:07:02","21.1671"
"2017-09-01","19:07:02","21.3255"
"2017-09-01","20:07:02","21.3594"
"2017-09-01","21:07:02","21.2124"
"2017-09-01","22:07:02","20.9304"
"2017-09-01","23:07:02","20.5674"
"2017-09-02","00:07:02","20.1682"
"2017-09-02","01:07:02","19.7711"
"2017-09-02","02:07:02","19.4225"
"2017-09-02","03:07:02","19.1542"
"2017-09-02","04:07:02","18.9234"
"2017-09-02","05:07:02","18.6761"
"2017-09-02","06:07:02","18.4073"
"2017-09-02","07:07:02","18.1202"
"2017-09-02","08:07:02","17.8684"
"2017-09-02","09:07:02","17.8316"
"2017-09-02","10:07:02","17.8346"
"2017-09-02","11:07:02","17.8865"
"2017-09-02","12:07:02","18.0210"
"2017-09-02","13:07:02","18.2539"
"2017-09-02","14:07:02","18.5466"
"2017-09-02","15:07:02","18.8442"
"2017-09-02","16:07:02","19.0832"
"2017-09-02","17:07:02","19.1864"
"2017-09-02","18:07:02","19.2015"
"2017-09-02","19:07:02","19.1533"
"2017-09-02","20:07:02","19.0566"
"2017-09-02","21:07:02","18.9196"
"2017-09-02","22:07:02","18.7773"
"2017-09-02","23:07:02","18.6125"
"2017-09-03","00:07:02","18.4269"
"2017-09-03","01:07:02","18.2128"
"2017-09-03","02:07:02","17.9652"
"2017-09-03","03:07:02","17.7029"
"2017-09-03","04:07:02","17.4337"
"2017-09-03","05:07:02","17.1633"
"2017-09-03","06:07:02","16.8865"
"2017-09-03","07:07:02","16.5856"
"2017-09-03","08:07:02","16.4745"
"2017-09-03","09:07:02","16.6142"
"2017-09-03","10:07:02","16.9225"
"2017-09-03","11:07:02","17.3743"
"2017-09-03","12:07:02","17.9193"
"2017-09-03","13:07:02","18.5386"
"2017-09-03","14:07:02","19.1733"
"2017-09-03","15:07:02","19.8025"
"2017-09-03","16:07:02","20.3866"
"2017-09-03","17:07:02","20.8909"
"2017-09-03","18:07:02","21.2564"
"2017-09-03","19:07:02","21.4948"
"2017-09-03","20:07:02","21.6029"
"2017-09-03","21:07:02","21.5839"
"2017-09-03","22:07:02","21.4918"
"2017-09-03","23:07:02","21.3722"
"2017-09-04","00:07:02","21.2306"
"2017-09-04","01:07:02","21.0848"
"2017-09-04","02:07:02","20.9330"
"2017-09-04","03:07:02","20.7815"
"2017-09-04","04:07:02","20.6419"
"2017-09-04","05:07:02","20.4924"
"2017-09-04","06:07:02","20.3350"
"2017-09-04","07:07:02","20.1712"
"2017-09-04","08:07:02","20.0160"
"2017-09-04","09:07:02","19.9746"
