FileName: C:\2005SE~1\SEL0072.TXT
Local Time: Thu Oct 13 11:13:18 2005

Ship: Marco Michel Trip: 01 Tow: sel0072
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
051013  142024  46  43.6350 N  61   3.1050 W   1.9        3.4        9.4        0.0       10.9*     127.8 
051013  142026  46  43.6340 N  61   3.1050 W   2.0        3.4        9.4        0.0       10.9      124.3*
051013  142028  46  43.6320 N  61   3.1060 W   1.7        3.4        9.4        0.0       10.9      124.3 
051013  142030  46  43.6310 N  61   3.1070 W   1.9        3.4        9.4        0.0       10.7*     124.3 
051013  142032  46  43.6300 N  61   3.1070 W   1.9        3.4        9.4        0.0       10.7      127.0*
051013  142034  46  43.6290 N  61   3.1070 W   1.9        3.4        9.4        0.0       10.7      127.0 
051013  142036  46  43.6280 N  61   3.1080 W   1.9        3.4        9.4        0.0       10.9*     127.0 
051013  142038  46  43.6270 N  61   3.1090 W   1.6        3.4        9.4        0.0       10.9      126.1*
051013  142040  46  43.6270 N  61   3.1090 W   2.0        3.4        9.4        0.0        9.8*     126.1 
051013  142042  46  43.6260 N  61   3.1090 W   1.7        3.4        9.4        0.0        9.8      126.1 
051013  142044  46  43.6250 N  61   3.1100 W   1.9        3.4        9.4        0.0        9.8      125.2*
051013  142046  46  43.6230 N  61   3.1110 W   1.6        3.4        9.4        0.0        9.8      125.2 
051013  142048  46  43.6220 N  61   3.1110 W   2.2        3.4        9.4        0.0        9.8      126.1*
051013  142050  46  43.6210 N  61   3.1120 W   1.6        3.4        9.4        0.0        9.8      126.1 
051013  142052  46  43.6200 N  61   3.1120 W   1.8        3.4        9.4        0.0        9.8      126.1 
051013  142054  46  43.6190 N  61   3.1130 W   1.7        3.4        9.4        0.0        9.8      124.3*
051013  142056  46  43.6180 N  61   3.1130 W   2.0        3.4        9.4        0.0       11.5*     124.3 
051013  142058  46  43.6170 N  61   3.1130 W   1.6        3.4        9.4        0.0       11.5      124.3 
051013  142100  46  43.6160 N  61   3.1140 W   2.1        3.4        9.4        0.0       11.5      126.1*
051013  142102  46  43.6150 N  61   3.1140 W   1.9        3.4        9.4        0.0       10.2*     126.1 
051013  142104  46  43.6140 N  61   3.1150 W   2.2        3.4        9.4        0.0       10.2      126.1 
051013  142106  46  43.6130 N  61   3.1160 W   1.9        3.4        8.6*       0.0       10.2      126.5*
051013  142108  46  43.6110 N  61   3.1160 W   2.1        3.4        8.6        0.0       10.2      126.5 
051013  142110  46  43.6100 N  61   3.1160 W   2.2        3.4        8.6        0.0       10.2      126.1*
051013  142112  46  43.6080 N  61   3.1170 W   2.1        3.4        8.6        0.0       10.2      126.1 
051013  142114  46  43.6070 N  61   3.1170 W   2.0        3.4        8.6        0.0       10.2      126.1 
051013  142116  46  43.6070 N  61   3.1170 W   2.1        3.4        8.6        0.0       10.2      123.5*
051013  142118  46  43.6050 N  61   3.1180 W   2.1        3.4        8.6        0.0       10.2      123.5 
051013  142120  46  43.6040 N  61   3.1180 W   2.3        3.4        8.6        0.0       10.2      123.5 
051013  142122  46  43.6030 N  61   3.1190 W   1.8        3.4        8.6        0.0       10.2      126.5*
051013  142124  46  43.6020 N  61   3.1190 W   2.4        3.4        8.6        0.0       10.2      126.5 
051013  142126  46  43.6010 N  61   3.1200 W   2.1        3.4        8.6        0.0        5.3*     126.5 
